epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,3284.35,1.17799,0.62472,0.98541,0.92905,0.85036,0.92354,0.60398,1.17828,0.54632,0.98542,0.000709809,0.000709809,0.000709809
60,3340.78,1.19124,0.64393,1.00248,0.92154,0.85451,0.92117,0.60212,1.18287,0.55032,0.9874,0.000693305,0.000693305,0.000693305
61,3402.74,1.16164,0.60905,0.98022,0.91901,0.86058,0.92162,0.60204,1.18661,0.5487,0.98886,0.000676802,0.000676802,0.000676802
62,3456.95,1.17415,0.62235,0.98463,0.91901,0.86404,0.92569,0.60434,1.18773,0.54218,0.98988,0.000660299,0.000660299,0.000660299
63,3511.08,1.15681,0.62257,0.96757,0.91576,0.86679,0.92358,0.60286,1.18893,0.541,0.99301,0.000643795,0.000643795,0.000643795
64,3565.45,1.17277,0.60152,0.97827,0.91779,0.85843,0.92291,0.59634,1.19601,0.54846,0.99038,0.000627292,0.000627292,0.000627292
65,3619.62,1.16342,0.60088,0.98499,0.92034,0.86629,0.92745,0.60402,1.18542,0.53619,0.98882,0.000610789,0.000610789,0.000610789
66,3673.97,1.16587,0.61995,0.98376,0.92111,0.8615,0.92534,0.59891,1.19205,0.54269,0.98697,0.000594286,0.000594286,0.000594286
67,3728.08,1.16689,0.59468,0.98088,0.91508,0.86804,0.92847,0.60588,1.18489,0.53609,0.98575,0.000577782,0.000577782,0.000577782
68,3782.86,1.15619,0.59287,0.97921,0.91426,0.8676,0.92634,0.60698,1.18137,0.53473,0.98468,0.000561279,0.000561279,0.000561279
69,3837.61,1.15443,0.58841,0.97281,0.91783,0.87002,0.92768,0.60393,1.18543,0.53571,0.98633,0.000544776,0.000544776,0.000544776
70,3892.65,1.16813,0.5986,0.98516,0.92652,0.85874,0.92512,0.60056,1.19204,0.53865,0.98701,0.000528272,0.000528272,0.000528272
71,3946.94,1.1445,0.58706,0.96848,0.92643,0.85881,0.9278,0.61013,1.17587,0.53118,0.98157,0.000511769,0.000511769,0.000511769
72,4002.1,1.15602,0.58738,0.97594,0.92411,0.86172,0.92638,0.60713,1.17574,0.53242,0.98198,0.000495266,0.000495266,0.000495266
